Branch,Customer type,Gender,Product line,Quantity,Total,Date,Rating
B,Normal,Female,Health and beauty,2,120.162,1/12/2019,8.3
A,Member,Female,Electronic accessories,7,185.367,2/4/2019,8.2
C,Member,Female,Food and beverages,3,121.59,3/28/2019,7.5
C,Normal,Female,Electronic accessories,3,264.7575,1/23/2019,9.8
C,Member,Female,Fashion accessories,10,1020.705,2/8/2019,8.7
B,Member,Male,Fashion accessories,8,213.528,3/19/2019,6.7
C,Normal,Male,Fashion accessories,1,17.094,3/9/2019,5
B,Member,Male,Fashion accessories,9,383.7645,1/2/2019,7
A,Member,Male,Health and beauty,7,390.7995,1/21/2019,8.9
B,Member,Female,Food and beverages,3,65.7405,3/20/2019,8
B,Normal,Male,Sports and travel,5,353.1675,2/27/2019,6.9
A,Member,Female,Home and lifestyle,10,951.825,3/8/2019,7.3
B,Normal,Male,Fashion accessories,2,145.068,1/31/2019,6.9
C,Normal,Male,Food and beverages,2,90.867,3/8/2019,5.7
A,Normal,Female,Electronic accessories,6,147.798,1/13/2019,6.4
B,Normal,Male,Fashion accessories,7,702.219,3/9/2019,9.6
B,Normal,Female,Fashion accessories,1,49.812,2/22/2019,6.8
C,Normal,Male,Sports and travel,9,937.818,3/19/2019,9
C,Member,Male,Sports and travel,4,348.306,1/20/2019,9.6
A,Normal,Male,Home and lifestyle,6,214.137,3/8/2019,7.7
C,Member,Male,Food and beverages,4,71.568,3/8/2019,7
C,Normal,Female,Electronic accessories,8,343.224,2/7/2019,6.5
C,Member,Male,Food and beverages,5,91.56,1/15/2019,8.1
B,Member,Female,Sports and travel,8,742.812,3/22/2019,4.3
A,Member,Female,Home and lifestyle,9,843.0345,1/15/2019,6.5
C,Normal,Male,Fashion accessories,1,13.419,1/8/2019,9.5
A,Normal,Female,Sports and travel,7,140.385,1/15/2019,9.7
B,Member,Female,Health and beauty,1,20.1075,1/28/2019,9.5
C,Member,Male,Food and beverages,10,290.43,2/14/2019,8.9
C,Normal,Male,Fashion accessories,3,144.081,3/10/2019,6.5
B,Member,Female,Health and beauty,1,28.4235,1/12/2019,5.3
B,Member,Female,Sports and travel,1,41.076,3/26/2019,9.6
B,Normal,Female,Electronic accessories,6,470.673,1/1/2019,6.7
B,Normal,Male,Electronic accessories,6,138.663,1/2/2019,7.6
A,Normal,Female,Food and beverages,5,333.9525,3/16/2019,4.8
A,Normal,Male,Health and beauty,1,26.25,3/3/2019,5.5
A,Member,Male,Electronic accessories,4,87.234,1/31/2019,4.7
B,Member,Female,Fashion accessories,5,155.19,2/13/2019,6.9
B,Member,Female,Food and beverages,9,731.43,2/15/2019,4.5
B,Normal,Male,Electronic accessories,10,833.595,2/7/2019,6.2
C,Member,Female,Electronic accessories,10,488.985,1/27/2019,7.6
C,Normal,Male,Food and beverages,1,37.6845,2/23/2019,7.9
C,Normal,Male,Food and beverages,5,212.73,2/3/2019,4.5
B,Member,Female,Food and beverages,10,767.025,3/3/2019,8.7
C,Normal,Female,Sports and travel,4,310.59,2/3/2019,6.1
C,Member,Female,Food and beverages,1,23.751,3/17/2019,6.4
A,Member,Male,Food and beverages,5,269.535,3/28/2019,9.1
C,Member,Female,Sports and travel,10,572.775,3/2/2019,7.1
C,Member,Female,Health and beauty,7,273.0525,2/8/2019,7.7
B,Normal,Male,Sports and travel,6,233.226,3/22/2019,4.5
C,Normal,Male,Food and beverages,1,22.659,2/9/2019,7.2
C,Member,Female,Electronic accessories,1,103.782,2/15/2019,8.4
C,Member,Female,Home and lifestyle,6,527.751,1/23/2019,5.4
A,Member,Female,Sports and travel,4,168.21,1/25/2019,9.7
A,Member,Male,Fashion accessories,10,452.865,2/2/2019,5.5
B,Member,Male,Health and beauty,8,609.588,3/30/2019,4.6
A,Member,Female,Electronic accessories,5,338.31,3/30/2019,6.6
A,Normal,Male,Health and beauty,3,205.317,2/25/2019,6.3
A,Normal,Female,Sports and travel,5,174.615,3/18/2019,4.2
C,Normal,Male,Electronic accessories,4,353.094,3/7/2019,4.4
B,Normal,Male,Sports and travel,10,360.885,3/16/2019,6.7
A,Normal,Male,Electronic accessories,1,40.53,1/29/2019,6.7
C,Normal,Male,Food and beverages,8,554.148,2/2/2019,8.4
C,Normal,Female,Electronic accessories,10,344.4,2/15/2019,6.2
A,Normal,Male,Sports and travel,5,194.985,1/8/2019,5
B,Member,Male,Home and lifestyle,10,633.99,2/12/2019,6
C,Member,Female,Sports and travel,10,388.29,1/1/2019,7
B,Member,Female,Sports and travel,4,207.858,3/21/2019,6.6
B,Normal,Female,Fashion accessories,10,431.445,2/28/2019,7.3
A,Normal,Male,Fashion accessories,4,156.03,3/23/2019,8.3
C,Normal,Male,Home and lifestyle,1,24.108,1/30/2019,4.3
B,Member,Female,Home and lifestyle,9,734.076,2/4/2019,9.8
B,Normal,Female,Fashion accessories,2,72.87,3/13/2019,8.2
A,Member,Female,Fashion accessories,10,206.43,3/15/2019,7.2
B,Member,Female,Health and beauty,8,212.688,3/5/2019,8.7
C,Member,Female,Home and lifestyle,10,127.26,3/5/2019,8.4
B,Normal,Male,Fashion accessories,2,209.769,2/26/2019,7.1
B,Normal,Male,Sports and travel,8,637.728,3/20/2019,5.5
C,Normal,Female,Electronic accessories,2,132.762,1/1/2019,8.5
C,Normal,Female,Food and beverages,6,568.512,1/27/2019,6.2
B,Member,Female,Sports and travel,1,103.0365,1/21/2019,8.9
A,Member,Female,Sports and travel,8,432.768,2/2/2019,9.6
B,Member,Male,Sports and travel,1,77.6685,2/3/2019,5.4
C,Member,Female,Fashion accessories,1,33.495,1/5/2019,9.1
C,Normal,Male,Home and lifestyle,2,145.74,1/27/2019,9
B,Normal,Female,Sports and travel,2,195.951,3/25/2019,6.3
B,Normal,Male,Sports and travel,1,92.8725,2/25/2019,9.5
A,Member,Male,Electronic accessories,8,203.112,1/28/2019,9.8
B,Member,Female,Sports and travel,3,152.775,1/8/2019,6.7
B,Normal,Female,Food and beverages,6,529.515,1/29/2019,7.7
B,Member,Male,Health and beauty,5,321.7725,3/29/2019,7
C,Member,Female,Home and lifestyle,6,100.485,2/9/2019,5.1
B,Member,Female,Sports and travel,7,666.939,1/16/2019,6.2
A,Normal,Female,Home and lifestyle,5,225.2775,1/5/2019,6.1
A,Normal,Female,Fashion accessories,7,398.958,1/27/2019,9.3
A,Normal,Male,Electronic accessories,7,731.6925,3/14/2019,7.6
C,Member,Male,Sports and travel,7,429.1665,2/23/2019,8.2
C,Member,Female,Fashion accessories,1,54.0435,3/18/2019,8.5
B,Member,Male,Health and beauty,5,288.015,3/29/2019,9.8
C,Member,Male,Home and lifestyle,5,206.7975,1/22/2019,8.7
A,Normal,Male,Home and lifestyle,2,72.933,3/1/2019,9.7
C,Member,Male,Sports and travel,5,377.58,1/17/2019,4.3
B,Normal,Female,Electronic accessories,3,143.9865,3/26/2019,7.7
C,Member,Female,Home and lifestyle,6,523.971,3/20/2019,7.3
A,Member,Female,Home and lifestyle,6,235.872,2/6/2019,5.9
C,Normal,Male,Health and beauty,2,132.027,1/1/2019,5
A,Normal,Male,Food and beverages,6,514.773,1/27/2019,8
A,Member,Female,Sports and travel,5,479.9025,2/25/2019,7.1
B,Normal,Male,Fashion accessories,4,164.682,1/16/2019,9
B,Member,Male,Fashion accessories,2,125.706,1/13/2019,6.7
B,Member,Female,Food and beverages,10,570.78,2/7/2019,6.1
A,Normal,Male,Sports and travel,9,926.9505,2/17/2019,9.3
A,Normal,Male,Health and beauty,6,160.209,2/12/2019,7
A,Member,Male,Fashion accessories,8,728.112,1/24/2019,7.2
B,Normal,Male,Electronic accessories,10,240.975,2/6/2019,8.2
C,Normal,Female,Food and beverages,9,154.1295,3/26/2019,8.4
A,Normal,Female,Home and lifestyle,5,148.68,3/11/2019,6.2
C,Normal,Male,Home and lifestyle,7,122.5245,2/7/2019,7.4
B,Member,Female,Fashion accessories,1,77.658,1/5/2019,5
A,Normal,Male,Home and lifestyle,1,102.837,3/7/2019,6.9
A,Normal,Female,Fashion accessories,4,306.81,2/25/2019,4.9
C,Member,Female,Food and beverages,6,551.124,2/1/2019,5.1
A,Normal,Male,Home and lifestyle,3,96.642,1/22/2019,9.1
C,Member,Male,Health and beauty,1,79.674,1/3/2019,7.1
B,Member,Female,Sports and travel,4,84.756,2/13/2019,5
C,Member,Male,Electronic accessories,6,118.251,1/28/2019,5.5
B,Normal,Female,Food and beverages,1,74.76,1/5/2019,9.2
B,Member,Male,Home and lifestyle,4,163.002,3/19/2019,4.9
A,Normal,Female,Fashion accessories,10,308.91,1/12/2019,8.9
A,Normal,Male,Sports and travel,9,575.9775,1/7/2019,6
B,Normal,Female,Sports and travel,5,270.585,1/26/2019,4.2
A,Normal,Female,Electronic accessories,6,416.178,1/23/2019,7.3
B,Normal,Male,Fashion accessories,3,180.4005,2/9/2019,6.5
B,Normal,Female,Fashion accessories,9,513.2295,2/22/2019,8.9
B,Normal,Female,Health and beauty,9,550.368,2/5/2019,9.7
C,Normal,Male,Electronic accessories,6,139.923,3/7/2019,8.6
A,Member,Male,Electronic accessories,7,142.002,3/25/2019,6.9
B,Normal,Male,Home and lifestyle,3,118.062,1/20/2019,7.7
B,Member,Female,Fashion accessories,2,151.284,2/4/2019,9.5
C,Member,Female,Food and beverages,10,1034.46,1/30/2019,4.5
A,Member,Male,Food and beverages,6,262.458,1/2/2019,5.6
A,Member,Female,Home and lifestyle,3,228.123,3/29/2019,8.2
B,Normal,Male,Electronic accessories,9,203.931,3/14/2019,7.3
C,Normal,Male,Food and beverages,10,936.6,2/11/2019,4.4
B,Normal,Female,Electronic accessories,8,356.328,1/30/2019,5.7
A,Member,Male,Electronic accessories,6,469.413,3/20/2019,5
B,Normal,Male,Fashion accessories,2,208.425,3/20/2019,9
A,Normal,Female,Food and beverages,10,852.705,1/17/2019,6.3
C,Normal,Female,Sports and travel,10,517.965,2/3/2019,9.4
A,Normal,Female,Fashion accessories,9,621.243,1/1/2019,7.7
B,Normal,Female,Fashion accessories,7,586.971,1/10/2019,5.5
C,Normal,Female,Sports and travel,7,543.753,3/2/2019,4.1
B,Member,Female,Home and lifestyle,5,430.71,2/25/2019,7.6
B,Member,Male,Sports and travel,10,280.035,1/29/2019,8.6
A,Member,Male,Food and beverages,7,74.4555,3/10/2019,8.3
B,Normal,Male,Food and beverages,2,152.019,1/13/2019,8.1
A,Normal,Male,Sports and travel,5,451.0275,3/22/2019,8.6
B,Member,Male,Fashion accessories,7,597.6285,3/1/2019,6.3
B,Normal,Male,Food and beverages,4,253.26,2/20/2019,5.8
C,Normal,Male,Food and beverages,4,133.434,1/14/2019,6.2
A,Normal,Female,Health and beauty,4,269.934,3/26/2019,7.7
B,Normal,Male,Health and beauty,2,145.971,3/1/2019,8.1
C,Normal,Male,Food and beverages,3,85.743,1/7/2019,7.3
A,Member,Female,Health and beauty,4,326.256,2/1/2019,8.4
C,Member,Female,Fashion accessories,2,195.258,2/13/2019,8
B,Member,Female,Fashion accessories,4,75.936,1/14/2019,9.5
B,Normal,Male,Sports and travel,3,198.639,1/19/2019,7
A,Normal,Male,Health and beauty,4,217.182,3/9/2019,9.8
A,Normal,Female,Food and beverages,3,164.871,3/27/2019,9.2
A,Normal,Female,Sports and travel,5,226.065,2/4/2019,7.7
C,Normal,Male,Fashion accessories,10,625.905,3/14/2019,5.3
A,Normal,Male,Health and beauty,5,76.755,3/4/2019,4.4
C,Member,Male,Health and beauty,6,293.139,3/3/2019,4.3
C,Member,Female,Home and lifestyle,7,178.164,1/27/2019,9.4
A,Member,Female,Sports and travel,1,47.859,2/7/2019,9.8
A,Member,Female,Sports and travel,3,236.88,2/5/2019,4.8
B,Member,Male,Sports and travel,3,304.92,3/15/2019,5.3
B,Normal,Male,Health and beauty,3,46.683,3/1/2019,8.7
A,Normal,Male,Food and beverages,3,164.43,2/15/2019,9.5
C,Normal,Female,Sports and travel,9,440.937,2/17/2019,5.3
C,Normal,Female,Fashion accessories,5,193.4625,1/26/2019,9.2
A,Member,Female,Home and lifestyle,2,147.672,3/24/2019,9.6
C,Normal,Male,Electronic accessories,1,87.234,1/23/2019,6.4
C,Normal,Female,Fashion accessories,1,68.2395,1/26/2019,4.5
C,Normal,Male,Food and beverages,10,814.38,3/14/2019,6.9
B,Normal,Female,Sports and travel,6,343.413,3/17/2019,7.8
C,Member,Female,Fashion accessories,7,381.3915,1/8/2019,4.5
B,Normal,Male,Home and lifestyle,4,133.35,2/8/2019,8.6
A,Member,Female,Fashion accessories,7,394.3275,2/10/2019,5.2
C,Member,Female,Food and beverages,4,209.118,3/28/2019,6.4
A,Normal,Male,Fashion accessories,1,32.1405,1/23/2019,5.2
B,Member,Male,Food and beverages,2,121.569,1/17/2019,8.9
A,Normal,Female,Electronic accessories,1,30.408,2/7/2019,6.2
C,Member,Female,Food and beverages,9,935.2665,3/9/2019,6.7
B,Member,Male,Fashion accessories,3,293.643,1/24/2019,7.2
C,Member,Male,Sports and travel,1,84.9765,1/19/2019,9
A,Member,Male,Food and beverages,10,708.225,2/3/2019,4.2
A,Member,Female,Sports and travel,9,365.904,3/20/2019,4.2
B,Member,Male,Sports and travel,6,457.38,1/13/2019,6.9
C,Member,Male,Electronic accessories,5,461.5275,3/14/2019,4.4
A,Member,Male,Food and beverages,6,620.739,1/23/2019,4
C,Member,Female,Fashion accessories,6,273.798,2/7/2019,8.5
A,Normal,Female,Food and beverages,3,225.792,3/28/2019,9.2
A,Member,Female,Food and beverages,1,96.1905,3/20/2019,9.8
B,Member,Female,Home and lifestyle,7,695.2365,1/17/2019,4.9
B,Normal,Female,Fashion accessories,10,874.125,1/12/2019,4.4
B,Member,Male,Fashion accessories,1,95.9175,2/16/2019,6.8
B,Member,Female,Food and beverages,2,165.648,1/26/2019,9.1
A,Normal,Male,Sports and travel,2,127.827,3/9/2019,8.7
B,Member,Male,Health and beauty,10,867.09,3/14/2019,5
A,Member,Male,Home and lifestyle,3,167.895,1/25/2019,7.5
A,Normal,Female,Fashion accessories,1,12.6945,1/26/2019,8.2
A,Normal,Male,Sports and travel,10,673.995,1/19/2019,6.7
A,Normal,Male,Electronic accessories,3,246.6765,3/5/2019,5.4
A,Member,Male,Food and beverages,2,175.917,1/15/2019,7
B,Normal,Male,Home and lifestyle,3,314.055,3/18/2019,4.7
B,Member,Male,Food and beverages,3,251.7165,3/20/2019,5
B,Member,Male,Health and beauty,10,697.935,1/15/2019,5
A,Normal,Male,Health and beauty,7,212.7825,3/3/2019,6
C,Normal,Female,Electronic accessories,1,48.51,3/19/2019,6.3
B,Member,Female,Food and beverages,5,92.5575,3/8/2019,8.5
B,Normal,Male,Fashion accessories,3,165.123,2/27/2019,7.5
B,Member,Female,Food and beverages,3,311.1885,2/23/2019,6.4
C,Member,Female,Electronic accessories,8,743.82,3/19/2019,4.7
B,Member,Male,Electronic accessories,2,116.907,3/27/2019,6
C,Member,Female,Food and beverages,8,609.168,3/30/2019,4
C,Member,Male,Electronic accessories,5,63.2625,2/16/2019,5.5
A,Member,Male,Home and lifestyle,9,182.952,1/18/2019,8.7
C,Normal,Male,Health and beauty,6,442.323,3/30/2019,7.4
B,Member,Male,Fashion accessories,1,35.3115,3/20/2019,5.6
C,Member,Female,Sports and travel,2,32.529,1/16/2019,6.3
C,Normal,Male,Electronic accessories,10,259.77,2/24/2019,7.1
B,Normal,Male,Electronic accessories,5,397.215,1/15/2019,7.8
B,Normal,Female,Health and beauty,6,351.603,1/22/2019,9.9
A,Member,Male,Home and lifestyle,10,764.19,2/3/2019,7.3
B,Member,Male,Sports and travel,9,352.674,3/6/2019,5.1
B,Member,Male,Fashion accessories,4,252.756,2/16/2019,9.4
A,Normal,Female,Electronic accessories,3,49.4235,3/14/2019,5.8
C,Normal,Female,Electronic accessories,1,104.6745,2/27/2019,8
A,Member,Female,Fashion accessories,3,277.6725,1/18/2019,7.9
A,Member,Female,Sports and travel,5,146.6325,1/29/2019,5.9
A,Member,Male,Fashion accessories,1,58.2225,2/26/2019,4.9
B,Normal,Female,Sports and travel,3,135.3555,2/3/2019,9.3
C,Member,Male,Sports and travel,7,125.979,1/16/2019,7.9
B,Member,Female,Fashion accessories,6,370.125,3/24/2019,5.9
C,Member,Female,Food and beverages,10,914.55,2/12/2019,9.9
C,Normal,Female,Sports and travel,2,207.48,2/21/2019,7.7
A,Normal,Female,Fashion accessories,4,204.246,2/4/2019,7.6
B,Member,Male,Food and beverages,3,181.881,2/20/2019,7.7
B,Normal,Female,Health and beauty,4,75.474,2/23/2019,6.4
C,Member,Female,Health and beauty,6,300.573,2/16/2019,4.4
B,Normal,Female,Sports and travel,2,85.302,1/17/2019,4.1
A,Member,Male,Fashion accessories,10,588.42,1/14/2019,4.4
B,Member,Male,Food and beverages,2,196.14,3/30/2019,5.5
B,Normal,Female,Health and beauty,3,231.2415,3/2/2019,4
C,Normal,Male,Health and beauty,8,282.576,2/15/2019,9.3
A,Normal,Female,Electronic accessories,10,477.54,3/1/2019,4.8
B,Member,Male,Fashion accessories,2,175.917,2/24/2019,4.6
B,Member,Female,Sports and travel,7,470.988,2/19/2019,7.3
A,Member,Female,Food and beverages,4,308.574,2/23/2019,6
C,Normal,Male,Health and beauty,10,618.975,2/7/2019,8.1
A,Member,Male,Food and beverages,6,305.55,1/11/2019,9.4
B,Member,Female,Electronic accessories,1,41.454,2/12/2019,6.5
B,Normal,Female,Sports and travel,1,36.5505,1/14/2019,7
C,Normal,Female,Fashion accessories,6,310.716,1/9/2019,7.1
A,Member,Male,Fashion accessories,2,45.108,2/27/2019,6.6
B,Member,Female,Sports and travel,6,145.404,1/24/2019,4.9
B,Member,Female,Home and lifestyle,2,103.11,1/8/2019,6.4
B,Member,Female,Sports and travel,2,136.143,1/8/2019,8
A,Member,Male,Home and lifestyle,10,667.38,1/16/2019,4.3
C,Member,Male,Sports and travel,2,153.048,3/13/2019,6.1
A,Normal,Female,Food and beverages,3,211.365,2/15/2019,7.5
C,Member,Female,Sports and travel,9,663.2955,1/25/2019,6.7
C,Member,Male,Food and beverages,7,404.544,3/12/2019,5.2
A,Member,Male,Health and beauty,10,510.615,3/4/2019,8.8
C,Member,Female,Fashion accessories,7,539.343,2/10/2019,9.5
C,Normal,Female,Food and beverages,9,497.07,1/16/2019,7.6
A,Member,Female,Home and lifestyle,5,458.6925,1/29/2019,6.6
A,Member,Female,Sports and travel,4,113.568,1/1/2019,6.9
B,Normal,Male,Home and lifestyle,4,261.198,1/6/2019,4.3
A,Member,Male,Electronic accessories,9,657.531,2/19/2019,7.8
C,Normal,Male,Home and lifestyle,10,1023.75,1/12/2019,8
C,Normal,Female,Fashion accessories,8,507.444,2/7/2019,9.6
B,Normal,Male,Food and beverages,3,101.808,3/27/2019,4.3
B,Member,Female,Fashion accessories,10,207.585,2/27/2019,5
B,Member,Male,Health and beauty,9,760.4415,1/6/2019,9.2
B,Member,Female,Home and lifestyle,9,835.2855,3/2/2019,6.3
B,Normal,Male,Health and beauty,7,527.5095,3/29/2019,8.9
B,Normal,Female,Electronic accessories,4,180.6,1/31/2019,7.6
C,Member,Male,Food and beverages,1,72.429,1/21/2019,4.8
C,Normal,Male,Fashion accessories,8,131.208,1/20/2019,9.1
A,Normal,Male,Sports and travel,3,80.955,1/17/2019,6.1
A,Member,Male,Food and beverages,6,507.906,2/28/2019,9.1
C,Member,Female,Home and lifestyle,4,317.226,3/19/2019,8.3
C,Normal,Female,Electronic accessories,9,733.6035,2/19/2019,7.2
C,Normal,Female,Health and beauty,9,130.8825,2/4/2019,6
C,Member,Male,Fashion accessories,8,829.08,1/31/2019,8.5
A,Normal,Female,Health and beauty,5,187.32,2/6/2019,6.6
A,Member,Female,Fashion accessories,7,525.231,3/28/2019,4.5
A,Member,Male,Electronic accessories,3,37.611,1/19/2019,8.1
A,Normal,Male,Fashion accessories,3,142.947,2/17/2019,7.2
B,Member,Female,Fashion accessories,6,110.124,1/18/2019,6.1
B,Normal,Female,Fashion accessories,7,187.866,2/2/2019,7.1
C,Member,Female,Sports and travel,9,856.4535,1/18/2019,5.1
B,Normal,Male,Home and lifestyle,3,138.978,3/18/2019,7.9
C,Member,Female,Food and beverages,7,270.2595,1/11/2019,7.4
B,Member,Male,Food and beverages,4,98.028,2/4/2019,7.4
C,Member,Female,Health and beauty,8,239.4,2/6/2019,6.6
C,Member,Male,Home and lifestyle,3,175.0455,1/8/2019,5.9
B,Normal,Male,Sports and travel,10,732.27,3/5/2019,8.9
C,Normal,Male,Fashion accessories,4,408.492,3/16/2019,6.8
B,Member,Female,Home and lifestyle,7,383.523,3/9/2019,9.3
A,Member,Female,Fashion accessories,4,93.744,3/1/2019,4.4
A,Normal,Male,Health and beauty,3,176.4,2/28/2019,4.8
A,Member,Male,Fashion accessories,1,20.685,2/8/2019,9.5
B,Normal,Male,Electronic accessories,7,557.718,1/24/2019,8.9
B,Member,Male,Food and beverages,1,56.406,3/1/2019,6.4
C,Member,Male,Health and beauty,10,860.475,3/10/2019,6
C,Member,Female,Home and lifestyle,7,596.82,3/23/2019,8.1
C,Normal,Male,Electronic accessories,10,616.98,1/29/2019,9
B,Member,Male,Electronic accessories,8,769.104,1/12/2019,6
A,Normal,Male,Home and lifestyle,9,887.922,3/20/2019,9.8
C,Normal,Male,Home and lifestyle,7,408.7335,3/23/2019,8.5
C,Normal,Male,Food and beverages,1,89.0715,1/14/2019,8.8
A,Member,Female,Sports and travel,2,150.423,2/12/2019,8.8
A,Member,Male,Home and lifestyle,2,79.149,2/20/2019,9.5
C,Member,Female,Sports and travel,8,266.028,1/2/2019,5.6
C,Member,Female,Food and beverages,1,40.341,2/2/2019,8.6
B,Member,Male,Fashion accessories,10,684.915,1/8/2019,5.2
C,Member,Female,Home and lifestyle,5,55.2825,1/30/2019,5.8
B,Member,Female,Home and lifestyle,9,116.1405,3/26/2019,8
C,Member,Male,Health and beauty,7,597.0405,1/15/2019,9
B,Member,Female,Fashion accessories,4,93.744,3/14/2019,4.1
A,Normal,Female,Food and beverages,5,143.22,2/3/2019,8.6
A,Member,Female,Electronic accessories,10,182.91,2/22/2019,7
B,Normal,Male,Home and lifestyle,5,384.72,1/24/2019,8.4
C,Member,Female,Fashion accessories,3,267.3405,1/25/2019,7.4
A,Normal,Female,Fashion accessories,8,817.236,3/9/2019,6.2
B,Member,Female,Electronic accessories,8,300.216,2/17/2019,4.9
A,Normal,Female,Home and lifestyle,6,608.076,1/11/2019,4.5
A,Member,Male,Food and beverages,10,197.925,2/27/2019,5.6
A,Normal,Female,Food and beverages,4,232.638,3/25/2019,8
B,Member,Female,Food and beverages,10,810.6,2/11/2019,5.6
B,Normal,Male,Electronic accessories,10,757.365,1/31/2019,4.2
A,Member,Female,Fashion accessories,8,536.592,1/20/2019,9.9
A,Member,Female,Health and beauty,5,56.1225,3/26/2019,7.6
A,Member,Male,Health and beauty,4,233.1,1/20/2019,6.6
B,Normal,Female,Home and lifestyle,8,801.864,3/5/2019,4.7
C,Normal,Female,Fashion accessories,3,239.589,1/5/2019,9.8
B,Normal,Male,Sports and travel,6,86.247,2/13/2019,6.3
B,Normal,Female,Electronic accessories,4,401.688,3/16/2019,7.9
A,Normal,Female,Home and lifestyle,6,72.009,1/15/2019,7.7
B,Member,Female,Sports and travel,4,401.268,2/26/2019,4.5
C,Member,Female,Health and beauty,7,631.1445,2/27/2019,8
C,Member,Female,Sports and travel,7,499.7265,2/17/2019,5.7
C,Normal,Female,Food and beverages,1,55.041,2/6/2019,6.3
C,Member,Male,Food and beverages,2,137.865,1/17/2019,6
B,Normal,Female,Food and beverages,5,151.515,1/22/2019,8
C,Member,Male,Health and beauty,7,480.0285,3/5/2019,4.2
B,Normal,Male,Sports and travel,1,98.049,1/3/2019,9.6
C,Member,Male,Sports and travel,5,132.5625,3/20/2019,6.1
B,Member,Male,Electronic accessories,9,830.3715,1/31/2019,5.6
C,Normal,Male,Health and beauty,8,183.12,2/19/2019,8.3
A,Normal,Female,Sports and travel,4,397.992,2/11/2019,7.8
A,Member,Female,Fashion accessories,1,32.151,2/5/2019,4.1
C,Normal,Female,Home and lifestyle,8,369.684,3/3/2019,8.8
C,Member,Female,Health and beauty,5,53.34,2/24/2019,4.1
A,Normal,Male,Electronic accessories,7,548.163,2/4/2019,9
C,Normal,Male,Electronic accessories,8,603.876,2/19/2019,5.5
C,Normal,Female,Health and beauty,5,57.6975,1/23/2019,9.3
C,Member,Male,Health and beauty,3,190.4805,1/14/2019,5.6
A,Normal,Male,Sports and travel,7,432.9885,1/17/2019,9.7
A,Normal,Male,Fashion accessories,1,48.7305,3/3/2019,4
C,Member,Male,Health and beauty,4,287.91,2/15/2019,9.2
B,Normal,Female,Home and lifestyle,10,1022.385,1/15/2019,4.9
A,Member,Male,Electronic accessories,7,680.61,2/27/2019,9.3
A,Normal,Female,Electronic accessories,2,97.881,2/26/2019,6.6
B,Normal,Male,Fashion accessories,2,57.078,3/15/2019,4.3
C,Member,Female,Home and lifestyle,1,63.9135,1/24/2019,5.5
A,Member,Female,Sports and travel,10,257.145,2/22/2019,8.1
B,Normal,Male,Health and beauty,1,97.419,3/15/2019,9.8
C,Member,Male,Home and lifestyle,5,455.1225,2/11/2019,9.4
B,Normal,Male,Sports and travel,6,144.963,1/12/2019,7.9
C,Member,Female,Electronic accessories,8,253.68,3/3/2019,5.1
C,Member,Male,Fashion accessories,7,495.3165,3/23/2019,6.9
A,Member,Female,Fashion accessories,9,462.672,3/4/2019,8
B,Member,Female,Electronic accessories,9,714.3255,2/23/2019,8
A,Normal,Female,Home and lifestyle,4,325.374,3/17/2019,4.2
A,Normal,Female,Sports and travel,2,195.678,1/16/2019,8.5
A,Normal,Female,Electronic accessories,4,210.966,1/8/2019,9
B,Normal,Female,Health and beauty,1,18.6375,1/14/2019,8.6
C,Normal,Female,Fashion accessories,10,652.89,1/31/2019,6
B,Normal,Male,Health and beauty,8,90.3,3/15/2019,6.2
A,Normal,Female,Electronic accessories,10,422.73,2/24/2019,5
C,Member,Female,Sports and travel,5,341.0925,2/8/2019,6.5
A,Normal,Male,Electronic accessories,1,99.9075,3/22/2019,6
A,Member,Female,Electronic accessories,8,408.408,1/24/2019,5
B,Normal,Female,Food and beverages,8,446.964,3/14/2019,5
C,Normal,Female,Fashion accessories,7,333.984,1/23/2019,9.2
A,Normal,Male,Food and beverages,8,284.592,1/19/2019,9.6
B,Member,Male,Health and beauty,4,403.872,1/27/2019,8.4
B,Member,Male,Food and beverages,5,247.59,2/3/2019,6
B,Normal,Male,Electronic accessories,4,222.138,3/25/2019,6.7
A,Member,Female,Home and lifestyle,2,100.128,2/24/2019,4.1
C,Member,Male,Sports and travel,1,10.6785,2/7/2019,5.9
A,Normal,Female,Health and beauty,3,216.4365,3/4/2019,8.7
B,Member,Female,Sports and travel,7,441.588,2/14/2019,4.5
A,Member,Female,Sports and travel,4,92.442,1/29/2019,6.6
B,Member,Female,Health and beauty,9,681.4395,1/28/2019,7.7
A,Member,Male,Fashion accessories,3,130.032,3/26/2019,8.5
C,Normal,Male,Electronic accessories,10,681.975,3/24/2019,5.2
A,Member,Female,Electronic accessories,10,779.31,1/1/2019,4.3
A,Normal,Male,Electronic accessories,8,88.704,1/24/2019,7.6
B,Normal,Male,Health and beauty,4,262.794,2/25/2019,9.5
B,Member,Female,Sports and travel,8,99.54,1/9/2019,4.1
A,Member,Male,Health and beauty,1,95.865,2/14/2019,9.2
B,Member,Female,Home and lifestyle,7,299.3655,3/12/2019,5.4
A,Normal,Male,Fashion accessories,1,54.999,3/26/2019,5.8
A,Member,Male,Fashion accessories,5,202.335,1/9/2019,5.6
B,Normal,Male,Sports and travel,6,281.169,1/2/2019,5.1
C,Normal,Male,Electronic accessories,10,586.635,1/15/2019,5.8
C,Member,Female,Sports and travel,6,184.086,1/1/2019,5
